name;id;nametype;recclass;mass (g);fall;year;reclat;reclong;GeoLocation
Elephant Moraine 83280;7920;Valid;L6;29.1;Found;01.01.1983;-76.328060;157.201670;(-76.328060, 157.201670)
Allan Hills 82101;477;Valid;CO3.4;29.1;Found;01.01.1982;-76.884260;156.930860;(-76.884260, 156.930860)
Reckling Peak A80251;22520;Valid;H5;29.1;Found;01.01.1980;-76.246990;158.242280;(-76.246990, 158.242280)
Yamato 790794;26143;Valid;LL6;29.1;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Grove Mountains 022221;46600;Valid;L4;29.09;Found;01.01.2003;-72.778330;75.320830;(-72.778330, 75.320830)
Pecora Escarpment 02035;18217;Valid;L5;29.09;Found;01.01.2002;-85.633330;-68.700000;(-85.633330, -68.700000)
Yamato 790572;25921;Valid;LL;29.08;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Grove Mountains 022408;50001;Valid;L5;29.05;Found;01.01.2003;-72.774440;75.327780;(-72.774440, 75.327780)
Yamato 8005;29052;Valid;Winonaite;29.02;Found;01.01.1980;-71.500000;35.666670;(-71.500000, 35.666670)
Asuka 881196;3905;Valid;L3;29.01;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
El Médano 060;56313;Valid;H3;29;Found;01.01.2011;-24.850000;-70.533330;(-24.850000, -70.533330)
Grove Mountains 052259;48289;Valid;L6;29;Found;01.01.2006;-72.776111;75.334444;(-72.776111, 75.334444)
Pecora Escarpment 01026;54775;Valid;Acapulcoite;29;Found;01.01.2002;-85.652050;-68.569330;(-85.652050, -68.569330)
Meteorite Hills 00928;16162;Valid;H6;29;Found;01.01.2000;-79.683330;159.750000;(-79.683330, 159.750000)
Meteorite Hills 00984;16218;Valid;L6;29;Found;01.01.2000;-79.683330;159.750000;(-79.683330, 159.750000)
Dar al Gani 547;6095;Valid;H6;29;Found;01.01.1997;27.023170;16.413170;(27.023170, 16.413170)
Queen Alexandra Range 97421;20877;Valid;LL5;29;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Queen Alexandra Range 97515;20971;Valid;LL5;29;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Queen Alexandra Range 97651;21107;Valid;LL6;29;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Hammadah al Hamra 047;11530;Valid;H4/5;29;Found;01.01.1994;28.682330;13.070830;(28.682330, 13.070830)
Queen Alexandra Range 93289;19377;Valid;H6;29;Found;01.01.1993;-84.000000;168.000000;(-84.000000, 168.000000)
Acfer 196;204;Valid;H5;29;Found;01.01.1991;27.576940;4.033890;(27.576940, 4.033890)
Elephant Moraine 90375;8784;Valid;L6;29;Found;01.01.1990;-76.274120;156.420560;(-76.274120, 156.420560)
Elephant Moraine 87855;8405;Valid;L6;29;Found;01.01.1987;-76.283420;156.452640;(-76.283420, 156.452640)
Lewis Cliff 86161;13099;Valid;LL6;29;Found;01.01.1986;-84.258350;161.430310;(-84.258350, 161.430310)
Allan Hills A77162;1474;Valid;L6;29;Found;01.01.1977;-76.716670;159.666670;(-76.716670, 159.666670)
Yamato 75134;25175;Valid;L6;29;Found;01.01.1975;-71.500000;35.666670;(-71.500000, 35.666670)
Yamato 74072;24450;Valid;H5;29;Found;01.01.1974;-71.500000;35.666670;(-71.500000, 35.666670)
Yamato 791001;26350;Valid;L5;289.83;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Meteorite Hills 96505;16564;Valid;L6;289.8;Found;01.01.1996;-79.683330;159.750000;(-79.683330, 159.750000)
Yamato 983885;30344;Valid;Lunar (anorth);289.70999999999998;Found;01.01.1999;-71.562830;36.005170;(-71.562830, 36.005170)
Ramlat as Sahmah 398;55494;Valid;L6;289.60000000000002;Found;01.01.2010;20.146730;55.709750;(20.146730, 55.709750)
El Médano 092;56604;Valid;H6;289;Found;01.01.2011;-24.850000;-70.533330;(-24.850000, -70.533330)
Dhofar 572;7333;Valid;H5;289;Found;01.01.2001;18.702920;54.367080;(18.702920, 54.367080)
Dar al Gani 517;6065;Valid;H6;289;Found;01.01.1997;27.111170;16.084330;(27.111170, 16.084330)
El Atchane 011;7788;Valid;H5;2886.4;Found;01.01.2002;30.019650;4.555620;(30.019650, 4.555620)
Queen Alexandra Range 97018;20425;Valid;L6;2883.9;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Jiddat al Harasis 302;35620;Valid;L5;288.51;Found;01.01.2005;19.828380;56.442430;(19.828380, 56.442430)
Lewis Cliff 97210;14623;Valid;L6;288.5;Found;01.01.1997;-84.266670;161.500000;(-84.266670, 161.500000)
Hammadah al Hamra 247;11730;Valid;LL6;288.45999999999998;Found;01.01.1997;28.852500;13.483500;(28.852500, 13.483500)
Asuka 87246;2603;Valid;L6;288.38;Found;01.01.1987;-72.000000;26.000000;(-72.000000, 26.000000)
Yamato 791020;26369;Valid;H4/5;288.26;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Elephant Moraine 83243;7884;Valid;L6;288.10000000000002;Found;01.01.1983;-76.287780;157.204440;(-76.287780, 157.204440)
Yamato 793597;28946;Valid;L6;288.10000000000002;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Allan Hills A77274;1585;Valid;H5;288.10000000000002;Found;01.01.1977;-76.716670;159.666670;(-76.716670, 159.666670)
Dhofar 507;7268;Valid;H5;288;Found;01.01.2000;18.328330;54.193330;(18.328330, 54.193330)
Thiel Mountains 99001;23953;Valid;L4;288;Found;01.01.2000;-85.165170;-94.573350;(-85.165170, -94.573350)
Dar al Gani 648;6195;Valid;H5;288;Found;01.01.1999;27.163060;16.004440;(27.163060, 16.004440)
Hammadah al Hamra 107;11590;Valid;L6;288;Found;01.01.1995;28.575670;13.311830;(28.575670, 13.311830)
Roosevelt County 073;22728;Valid;H5;288;Found;01.01.1989;34.083330;-103.483330;(34.083330, -103.483330)
Allan Hills A77183;1495;Valid;H6;288;Found;01.01.1977;-76.716670;159.666670;(-76.716670, 159.666670)
Guibga;11442;Valid;L5;288;Fell;01.01.1972;13.500000;-0.683330;(13.500000, -0.683330)
Miller Range 99311;16667;Valid;L5;287.60000000000002;Found;01.01.1999;-83.250000;157.000000;(-83.250000, 157.000000)
Jiddat al Harasis 442;48593;Valid;L4;287.48700000000002;Found;01.01.2007;19.605570;56.428520;(19.605570, 56.428520)
Bluewing 033;51576;Valid;L5;287.44;Found;01.01.1999;40.266670;-118.933330;(40.266670, -118.933330)
